ibge7,mun,nome_meso,tot_f_meio_sm,tot_f_rdpc_154,n_f_PBF,tot_benf_PBF,ex_cinema,ex_bib,n_bib,tx_criancas_EF_adeq,tx_adol_EM_adeq,tx_EJA_EF_15m,tx_EJA_EM_18m,tx_esc_0_3,tx_esc_15_17,n_esp_mun,popul,percent_5,percent_6_17,percent_65,transf_pc_PBF,n_emp_formal,rdpc_formal,tx_mort,tx_mort_homicidio,tx_mort_homicidio_15_29,prop_priv_saude,percent_esgoto,percent_lixo,area,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
3119401,Coronel Fabriciano,Vale do Rio Doce,9499,4808,4711,19.73,Não,Sim,1,74.1,59.3,1.8,1.8,38.8,80.3,14,109857,8,19,8,6.02,16451,243.99,6.42,41.87,89.84,32.25,0.0,0.0,221.3,0,0,60,0,0,135,6,0,0,34,4,0,0,0,0,0,340,13,26800
3119500,Coronel Murta,Jequitinhonha,1747,1388,1334,21.07,Não,Sim,1,85.1,68.7,1.0,1.1,27.5,79.8,6,9405,8,21,9,26.97,711,96.42,5.95,10.63,41.04,0.96,56.7,0.0,815.4,0,0,18,0,0,2700,36,8,15,15,107,0,0,0,0,0,1930,116,2100
3119609,Coronel Pacheco,Zona da Mata,334,222,183,21.01,Não,Sim,1,63.4,39.4,1.8,1.3,0.0,78.8,6,3117,7,19,10,8.91,399,172.63,9.95,0.0,0.0,11.61,0.0,100.0,131.5,0,0,1060,0,0,0,10,0,0,0,11,0,0,0,0,0,6508,31,0
3119708,Coronel Xavier Chaves,Campo das Vertentes,275,121,125,6.48,Não,Não,0,74.3,57.9,1.7,1.8,2.8,76.7,4,3461,7,21,10,6.24,400,165.49,5.2,0.0,0.0,7.63,0.0,0.0,141.0,0,0,16,0,0,3800,267,0,0,0,3520,180,0,699,110,108,8660,16,300
3119807,Córrego Danta,Oeste de Minas,380,196,148,12.4,Não,Não,0,57.8,38.7,0.0,0.0,26.0,55.7,8,3374,8,21,10,7.23,510,234.64,8.3,0.0,0.0,6.73,0.0,0.0,657.4,0,0,48,0,1930,414,2,63,8,0,577,200,0,0,0,0,6592,109,3600
3119906,Córrego do Bom Jesus,Sul/Sudoeste de Minas,350,240,190,18.63,Não,Sim,1,74.5,74.9,0.0,0.0,13.8,80.8,5,3807,7,21,10,6.29,252,91.77,11.56,0.0,0.0,8.12,0.0,100.0,123.7,0,0,10,480,0,0,3,4,0,0,101,0,0,0,76,0,1570,14,185
3119955,Córrego Fundo,Oeste de Minas,617,101,119,10.14,Não,Sim,1,67.3,44.1,0.5,0.5,28.7,55.6,5,6252,8,20,9,2.76,1441,368.98,5.76,31.99,0.0,10.43,81.0,100.0,101.1,0,0,0,0,25,5150,42,0,0,0,3432,1802,0,0,1024,0,3757,67,9000
3120003,Córrego Novo,Vale do Rio Doce,538,405,348,10.17,Não,Não,0,94.2,46.0,1.6,1.7,47.8,60.4,3,3000,8,21,10,22.81,353,147.69,5.0,66.67,135.13,7.47,0.0,0.0,205.4,0,0,18,0,50,6650,9,0,0,0,272,0,0,5,0,0,1780,39,2750
3120102,Couto de Magalhães de Minas,Jequitinhonha,751,436,401,25.48,Não,Sim,1,81.0,67.1,2.2,2.3,48.3,95.5,2,4428,8,21,10,16.38,394,119.69,9.03,22.58,0.0,2.28,0.0,0.0,485.7,0,0,9,0,0,770,10,11,0,0,94,0,0,0,0,0,713,19,0
3120151,Crisólita,Vale do Mucuri,1213,932,877,11.89,Não,Sim,1,77.3,49.6,0.6,0.6,26.1,73.6,5,6579,8,22,9,25.87,438,89.03,5.02,15.2,0.0,1.17,0.0,0.0,966.2,0,0,5,0,0,1200,78,0,0,0,150,0,0,0,0,0,10601,12,0
3120201,Cristais,Oeste de Minas,952,633,584,13.46,Não,Sim,1,65.5,40.7,0.9,0.8,24.4,52.6,4,12444,8,21,9,7.7,2801,260.03,5.46,16.07,0.0,6.11,0.0,0.0,628.4,0,0,0,0,7483,60000,360,10,9,0,24786,5316,1140,1140,0,0,15000,76,3760
3120300,Cristália,Norte de Minas,1631,1485,1210,5.49,Não,Sim,1,100.0,83.4,1.0,1.1,11.7,100.0,8,6026,9,21,8,44.61,397,104.25,4.48,0.0,0.0,0.53,0.0,0.0,840.7,0,0,22,0,2,2460,86,7,0,7,215,0,0,0,0,0,344,67,150
3120409,Cristiano Otoni,Metropolitana de Belo Horizonte,580,256,249,15.58,Não,Sim,1,78.0,44.1,2.6,2.4,2.5,72.7,5,5215,8,22,9,7.03,691,183.18,6.71,19.18,76.11,11.68,0.0,100.0,132.9,0,0,210,400,0,400,312,0,0,0,1542,470,0,120,175,390,13140,43,100
3120508,Cristina,Sul/Sudoeste de Minas,1013,398,546,22.58,Não,Sim,1,64.9,56.0,0.6,0.6,19.9,68.6,4,10483,7,21,9,7.34,1288,169.79,8.01,0.0,0.0,23.89,0.0,0.0,311.3,0,0,15600,3960,1409,0,198,0,0,0,1500,0,0,8,360,0,12426,38,1250
3120607,Crucilândia,Metropolitana de Belo Horizonte,634,463,404,14.08,Não,Sim,1,76.2,49.6,1.2,1.2,20.3,70.9,5,5036,8,20,10,9.95,559,151.92,11.32,0.0,0.0,3.97,0.0,100.0,167.2,0,0,0,0,0,14768,10,0,6,0,480,0,0,120,320,0,5331,44,0
3120706,Cruzeiro da Fortaleza,Triângulo Mineiro/Alto Paranaíba,644,387,293,18.44,Não,Sim,1,97.0,55.4,1.3,1.0,44.4,76.6,4,4158,8,21,10,12.53,618,259.64,7.7,0.0,0.0,3.08,0.0,0.0,188.1,0,0,0,1200,1448,0,0,0,0,0,1302,4845,444,0,0,126,54219,20,9600
3120805,Cruzília,Sul/Sudoeste de Minas,2079,1441,1250,31.57,Sim,Sim,1,69.4,59.7,1.7,1.7,29.3,83.1,3,15435,8,21,9,13.3,2554,248.27,8.75,6.48,25.22,17.05,0.0,0.0,522.4,0,0,0,0,72,2270,396,0,0,0,17660,3705,0,800,0,540,11455,29,10000
3120839,Cuparaque,Vale do Rio Doce,783,666,561,8.1,Não,Sim,1,69.4,40.5,1.6,1.6,26.7,65.2,4,4972,8,21,10,21.95,394,104.54,8.25,20.11,0.0,1.99,0.0,0.0,226.8,0,0,39,0,104,9300,1,5,0,246,12,0,0,0,0,0,6700,10,550
3120870,Curral de Dentro,Norte de Minas,1910,1648,1309,11.08,Não,Sim,1,100.0,69.2,2.0,2.2,11.2,94.1,3,7559,8,21,9,32.47,420,79.64,5.42,0.0,0.0,1.4,0.0,90.0,568.3,0,0,30,0,31,96,37,15,0,8,73,0,23,5,0,0,861,38,508
3120904,Curvelo,Central Mineira,7335,4767,4179,31.97,Sim,Sim,2,83.2,58.5,3.0,3.0,26.9,86.5,6,79401,8,19,8,7.79,15627,303.28,6.98,25.19,66.04,15.04,83.2,100.0,3298.8,0,0,2160,0,0,19200,125,0,19,300,3588,4,0,45,165,0,18798,86,6100
3121001,Datas,Jequitinhonha,1052,678,599,29.9,Não,Sim,1,87.6,81.0,0.5,0.5,47.3,100.0,3,5457,8,21,9,17.46,502,115.74,6.96,0.0,0.0,2.33,68.0,0.0,310.1,0,0,11,1950,3,360,108,7,0,0,2142,0,0,0,0,0,909,20,6300
3121100,Delfim Moreira,Sul/Sudoeste de Minas,872,409,422,15.3,Não,Sim,1,70.2,71.3,1.1,1.2,0.9,98.4,5,8203,8,21,9,7.18,789,131.89,5.36,0.0,0.0,7.64,0.0,100.0,408.5,0,0,0,1000,0,187,16,0,0,0,363,0,0,0,250,0,7700,79,7250
3121209,Delfinópolis,Sul/Sudoeste de Minas,587,342,273,19.46,Não,Sim,1,82.0,55.0,0.0,0.0,38.9,69.3,11,7165,8,21,9,5.8,1553,328.84,7.54,0.0,0.0,5.75,0.0,0.0,1378.4,0,0,40779,0,297,189800,862,0,0,8,28300,33766,7252,0,30,0,18371,45,190
3121258,Delta,Triângulo Mineiro/Alto Paranaíba,971,761,533,9.85,Não,Sim,1,82.6,43.5,3.7,3.3,24.2,72.7,7,9707,9,20,7,10.35,3079,959.11,4.43,10.3,0.0,20.48,0.0,100.0,102.8,0,0,200,0,0,419040,0,0,0,0,59,2550,264,0,0,0,1329,1518,0
3121308,Descoberto,Zona da Mata,630,332,312,24.31,Não,Sim,1,58.0,50.9,0.0,0.0,40.7,69.7,4,5029,7,21,10,9.98,946,217.53,7.36,19.88,80.33,5.95,0.0,100.0,213.2,0,0,12,0,1,2520,6,0,0,0,153,0,0,0,0,0,5361,122,824
3121407,Desterro de Entre Rios,Metropolitana de Belo Horizonte,672,360,369,17.93,Não,Sim,1,65.1,50.7,1.0,1.0,1.9,71.5,1,7317,8,21,9,6.4,492,102.76,9.43,13.67,52.63,3.69,0.0,0.0,377.2,0,0,28,0,312,4606,250,8,0,0,1600,0,0,0,80,0,12541,83,1300
3121506,Desterro do Melo,Campo das Vertentes,416,289,291,13.49,Não,Sim,1,77.2,64.9,0.0,0.0,1.3,86.3,3,3026,8,21,10,14.33,293,128.65,16.52,33.05,133.72,3.54,0.0,0.0,142.3,0,0,750,0,2,600,294,0,10,0,2160,0,0,0,50,0,5370,105,0
3121605,Diamantina,Jequitinhonha,6369,3902,3430,29.76,Não,Sim,1,82.8,61.7,2.3,2.3,37.7,93.1,7,48095,8,20,8,10.64,8740,491.2,5.95,10.4,23.78,11.26,0.0,0.0,3891.7,0,0,30,0,540,6000,189,18,0,28,912,0,0,0,0,0,3665,198,3120
3121704,Diogo de Vasconcelos,Metropolitana de Belo Horizonte,748,533,500,2.79,Sim,Sim,1,77.7,52.0,1.5,1.6,13.8,71.4,0,3918,7,22,10,19.68,164,56.61,5.62,0.0,0.0,1.97,0.0,0.0,165.1,0,0,0,0,0,600,50,0,0,0,1035,0,0,0,0,0,1365,16,80000
3121803,Dionísio,Metropolitana de Belo Horizonte,1137,710,639,16.1,Não,Sim,1,55.9,51.0,0.0,0.0,8.4,60.5,5,8373,8,21,9,10.42,590,84.41,7.4,35.83,46.01,9.23,0.0,100.0,344.4,0,0,271,0,3,1950,47,0,0,0,432,0,0,0,0,0,4420,91,5000
3121902,Divinésia,Zona da Mata,427,206,203,7.28,Não,Não,0,82.6,47.1,1.8,1.6,43.5,70.9,5,3446,8,21,10,8.21,334,128.64,7.84,58.04,117.67,19.12,0.0,100.0,117.0,0,0,128,0,230,1650,82,0,0,0,371,0,0,0,200,0,3556,10,0
3122009,Divino,Zona da Mata,3900,2931,2664,33.92,Não,Sim,1,78.7,45.6,2.2,1.9,11.6,72.4,5,20074,8,21,9,21.97,1420,100.85,8.87,39.85,58.35,3.81,0.0,0.0,337.8,0,0,246,0,9630,660,156,0,0,0,1474,0,0,0,0,0,4503,96,1500
3122108,Divino das Laranjeiras,Vale do Rio Doce,823,614,521,17.95,Não,Não,0,73.3,51.9,2.6,2.8,30.8,68.3,5,5084,8,21,10,16.4,349,90.84,9.05,78.68,79.47,3.21,0.0,100.0,342.2,0,0,14,0,0,4580,11,0,0,0,32,0,0,0,0,0,5140,19,650
3122207,Divinolândia de Minas,Vale do Rio Doce,1758,1646,1009,15.03,Não,Sim,1,86.1,53.1,0.7,0.7,17.8,88.3,2,7517,8,21,9,39.8,349,61.42,6.25,26.61,51.47,4.7,0.0,0.0,133.1,0,0,40,0,30,1575,84,0,0,0,335,0,0,0,0,0,3086,25,9020
3122306,Divinópolis,Oeste de Minas,9251,4095,3075,13.95,Sim,Sim,1,70.7,55.4,1.8,1.8,24.2,75.9,39,232945,8,19,6,1.64,56763,454.91,6.31,25.76,60.22,55.33,0.0,0.0,708.1,0,0,124,0,0,1400,30,21,30,6,1548,126,5,84,160,0,22180,16650,2030
3122355,Divisa Alegre,Norte de Minas,1388,1146,925,16.37,Não,Não,0,100.0,63.5,3.6,3.6,20.9,87.3,3,6553,8,21,9,25.16,806,220.53,7.32,0.0,0.0,1.85,0.0,0.0,117.8,0,0,19,0,144,0,10,0,0,0,36,0,0,0,0,0,53,13,800
3122405,Divisa Nova,Sul/Sudoeste de Minas,719,344,303,19.38,Não,Sim,1,82.9,52.5,2.1,1.7,24.8,69.0,3,6050,8,21,9,8.3,670,143.59,6.28,0.0,0.0,4.94,0.0,0.0,217.0,0,0,62,750,3832,72680,258,1910,0,0,9426,1777,0,0,0,0,6000,34,0
3122454,Divisópolis,Jequitinhonha,1925,1674,1478,13.53,Não,Sim,1,66.6,45.5,5.0,4.7,15.5,79.6,3,10382,8,21,9,32.84,398,60.57,4.14,48.16,74.2,0.63,0.0,0.0,572.9,0,0,120,0,745,1500,94,14,7,0,158,0,0,0,0,0,1412,20,1325
3122470,Dom Bosco,Noroeste de Minas,595,407,331,11.49,Não,Sim,1,88.7,63.6,1.0,1.0,24.6,79.5,10,3830,7,21,10,11.61,314,120.46,7.83,52.22,105.48,5.85,0.0,0.0,817.4,0,0,0,0,0,8350,1830,0,180,316,3797,4108,224,0,0,0,5631,60,0
3122504,Dom Cavati,Vale do Rio Doce,862,497,422,31.76,Não,Sim,1,81.0,63.6,1.6,1.7,0.7,80.5,4,5260,8,21,9,12.88,452,108.08,9.51,0.0,0.0,6.27,0.0,0.0,59.5,0,0,210,0,14,420,11,10,0,0,51,0,0,0,0,0,1351,10,0
3122603,Dom Joaquim,Metropolitana de Belo Horizonte,713,547,523,18.57,Não,Sim,1,99.4,65.2,1.9,2.1,52.5,78.8,5,4609,8,21,10,19.81,378,117.24,7.59,0.0,0.0,6.05,0.0,100.0,398.8,0,0,36,0,0,2900,41,0,0,0,264,0,0,0,0,0,4440,57,8590
3122702,Dom Silvério,Zona da Mata,487,317,303,25.58,Não,Sim,1,61.5,51.0,1.1,1.1,28.6,60.3,3,5349,8,21,9,10.45,984,291.03,2.99,37.39,73.87,8.38,0.0,100.0,195.0,0,0,23,0,0,1180,11,0,0,0,124,0,0,0,0,0,5084,22,20100
3122801,Dom Viçoso,Sul/Sudoeste de Minas,366,176,162,8.14,Não,Sim,1,83.2,75.7,3.3,3.5,3.7,80.0,4,3073,7,19,11,5.86,298,142.78,7.16,0.0,0.0,19.72,0.0,0.0,113.9,0,0,304,130,407,160,8,0,0,0,74,0,0,0,0,0,4455,23,2210
3122900,Dona Eusébia,Zona da Mata,692,393,330,22.34,Não,Sim,1,69.8,53.5,2.9,3.0,17.1,67.0,2,6483,8,21,9,7.56,984,171.32,7.1,0.0,0.0,5.82,0.0,100.0,70.2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,494,20,75
3123007,Dores de Campos,Campo das Vertentes,659,224,214,18.81,Não,Sim,1,66.8,46.7,1.5,1.5,18.4,61.5,5,10026,8,21,9,2.36,2646,384.82,5.69,0.0,0.0,18.0,0.0,100.0,124.8,0,0,0,0,0,425,87,0,0,0,1239,300,0,0,20,180,1770,16,0
3123106,Dores de Guanhães,Vale do Rio Doce,783,519,451,10.12,Não,Sim,1,87.8,65.1,1.0,1.1,31.6,85.9,5,5322,8,21,9,13.06,576,186.04,7.52,18.79,74.38,2.93,0.0,100.0,382.1,0,0,0,0,0,22400,55,0,0,0,420,0,0,0,0,0,5094,36,4600
3123205,Dores do Indaiá,Central Mineira,1477,719,544,29.67,Não,Sim,1,66.1,49.6,2.3,2.2,20.4,63.1,5,13952,8,21,9,4.82,2072,211.03,7.96,0.0,0.0,14.26,100.0,0.0,1111.2,0,0,0,0,0,2200,38,0,0,0,271,0,120,0,0,0,17085,71,0
3123304,Dores do Turvo,Zona da Mata,803,697,589,19.08,Não,Sim,1,78.5,66.1,2.4,2.5,3.4,77.5,4,4455,8,22,10,18.97,265,66.64,10.77,0.0,0.0,11.74,0.0,100.0,231.2,0,0,0,0,38,7836,186,0,0,0,330,0,0,0,0,0,11666,23,2700
3123403,Doresópolis,Oeste de Minas,256,191,114,21.73,Não,Sim,1,75.5,45.9,0.0,0.0,32.6,64.8,4,1526,7,20,9,13.79,236,559.05,3.28,0.0,0.0,6.55,0.0,0.0,152.9,0,0,0,0,207,3024,28,0,0,0,2150,0,0,0,0,0,5500,33,720
3123502,Douradoquara,Triângulo Mineiro/Alto Paranaíba,255,234,131,8.61,Não,Sim,1,78.0,62.3,0.0,0.0,8.5,64.4,4,1925,7,19,11,11.17,270,212.22,6.75,0.0,0.0,0.73,0.0,0.0,312.9,0,0,12,0,0,810,0,0,0,0,1380,1518,0,0,0,0,11114,43,0
3123528,Durandé,Zona da Mata,1464,1227,908,10.9,Não,Sim,1,81.0,57.8,1.3,1.3,7.7,75.2,5,7852,8,22,9,17.95,348,77.07,4.84,38.21,0.0,2.0,0.0,100.0,217.5,0,0,0,0,6010,574,9,0,0,0,99,0,0,0,0,0,2586,13,0
3123601,Elói Mendes,Sul/Sudoeste de Minas,2445,1258,1290,19.9,Sim,Sim,1,75.5,51.0,0.9,0.9,22.6,73.1,7,27505,8,20,9,7.62,4684,252.45,6.18,3.64,0.0,19.81,0.0,0.0,499.5,0,0,50,0,10980,1600,248,8,0,0,4860,0,84,0,0,0,25812,1093,1650
3123700,Engenheiro Caldas,Vale do Rio Doce,1486,992,871,17.59,Não,Sim,1,76.7,42.7,1.2,1.2,42.4,68.6,5,11032,8,21,9,11.04,1232,131.62,6.07,27.19,0.0,7.08,0.0,0.0,187.1,0,0,4,0,0,0,2,10,0,90,23,0,0,0,140,0,6415,11,0
3123809,Engenheiro Navarro,Norte de Minas,1695,1513,1032,17.71,Não,Sim,1,74.9,59.7,2.8,2.9,10.4,75.3,12,7369,8,21,9,32.15,620,107.22,5.7,0.0,0.0,1.71,51.7,0.0,608.3,0,0,27,0,0,3720,216,5,22,0,308,0,36,33,0,0,1600,24,3855
3123858,Entre Folhas,Vale do Rio Doce,1118,890,757,34.51,Não,Sim,1,87.0,70.0,1.6,1.4,26.1,91.7,3,5397,8,21,9,20.71,140,28.25,7.97,37.06,73.44,2.8,0.0,100.0,85.2,0,0,98,0,343,300,8,9,0,0,76,0,0,4,0,0,1407,47,900
3123908,Entre Rios de Minas,Metropolitana de Belo Horizonte,1534,719,765,19.08,Não,Sim,1,72.1,54.6,1.9,2.0,14.1,71.2,2,15210,8,21,9,6.56,1564,148.7,7.23,0.0,0.0,14.02,0.0,0.0,456.8,0,0,0,0,365,1184,300,0,0,0,3143,0,0,0,0,0,17038,91,11520
3124005,Ervália,Zona da Mata,2508,1492,1507,19.11,Não,Sim,1,84.9,62.6,2.5,2.4,15.0,80.4,5,18944,8,21,9,9.8,1999,131.68,4.54,10.56,0.0,3.66,0.0,90.0,357.5,0,0,780,0,7800,3768,1864,0,0,0,6804,0,0,0,1200,0,2746,90,6050
3124104,Esmeraldas,Metropolitana de Belo Horizonte,8706,5610,4782,12.4,Não,Sim,1,98.3,56.1,1.7,1.4,3.3,85.3,2,68133,8,20,8,12.13,6336,162.54,5.8,36.69,106.05,14.74,0.0,0.0,911.4,0,0,186,0,91,7200,7,0,7,0,608,0,0,11,490,0,12560,1761,2130
3124203,Espera Feliz,Zona da Mata,3625,2980,2491,23.46,Não,Sim,1,79.6,56.1,2.5,2.2,34.8,77.8,6,24641,8,20,9,14.0,2982,163.5,6.41,12.17,31.34,3.79,0.0,0.0,317.6,0,0,662,0,11880,120,280,34,0,0,2093,0,0,0,0,0,5550,82,1740
3124302,Espinosa,Norte de Minas,6719,5279,4552,26.06,Não,Sim,1,81.0,56.9,1.6,1.7,29.6,70.9,12,32183,8,21,8,21.72,2715,105.47,7.52,9.32,34.48,1.7,0.0,0.0,1869.0,0,0,2819,0,0,1440,156,120,0,185,230,0,122,20,30,0,5097,177,0
3124401,Espírito Santo do Dourado,Sul/Sudoeste de Minas,617,430,294,9.18,Não,Sim,1,75.0,52.6,1.0,0.9,37.0,65.3,3,4692,8,20,10,9.42,595,183.13,8.53,0.0,0.0,7.86,0.0,0.0,263.9,0,0,1350,9936,560,0,18,0,0,0,6520,0,0,0,0,0,6925,31,0
3124500,Estiva,Sul/Sudoeste de Minas,840,534,490,18.91,Não,Sim,1,64.5,44.3,0.4,0.4,26.3,54.5,2,11411,8,21,9,5.3,1440,219.45,7.36,0.0,0.0,17.3,0.0,100.0,243.9,0,0,25,360,5,0,15,0,0,0,920,0,0,0,450,0,4338,18,1350
3124609,Estrela Dalva,Zona da Mata,307,226,193,18.71,Não,Não,0,64.7,37.7,0.4,0.5,36.7,54.2,2,2459,7,19,11,11.99,353,184.01,13.01,0.0,0.0,6.47,0.0,100.0,131.4,0,0,160,0,0,1380,4,0,0,0,759,0,0,0,0,0,4572,10,385
3124708,Estrela do Indaiá,Central Mineira,395,198,169,14.1,Não,Sim,1,53.9,46.7,3.2,3.3,23.4,61.6,4,3593,8,21,10,6.67,441,178.88,8.63,27.83,0.0,6.04,0.0,0.0,636.0,0,0,28,2600,252,2880,365,0,0,0,2247,1053,0,0,0,0,15595,51,825
3124807,Estrela do Sul,Triângulo Mineiro/Alto Paranaíba,891,679,473,29.31,Não,Sim,1,54.5,48.3,2.5,2.7,26.6,56.6,11,7940,8,21,9,9.84,1221,265.13,5.79,0.0,0.0,7.61,0.0,0.0,822.5,0,0,552,0,5060,10440,390,0,102,0,18720,10700,216,0,1400,700,7200,49,500
3124906,Eugenópolis,Zona da Mata,1496,1070,972,22.61,Não,Sim,1,60.5,35.8,1.8,1.8,17.1,58.2,2,11229,8,20,9,14.97,1516,174.05,7.84,0.0,0.0,5.96,0.0,100.0,309.4,0,0,199,0,1500,3515,31,0,0,0,160,0,0,0,0,0,7514,40,0
3125002,Ewbank da Câmara,Zona da Mata,584,342,278,7.36,Não,Sim,1,80.8,50.6,1.7,1.8,25.2,78.7,1,3940,8,21,10,11.23,238,71.4,10.91,0.0,0.0,12.11,0.0,0.0,103.8,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,658,7,0
3125101,Extrema,Sul/Sudoeste de Minas,2715,1791,903,11.41,Sim,Sim,1,89.6,60.3,4.7,4.4,60.8,87.1,20,33729,8,20,8,5.24,16889,1082.99,6.49,8.89,11.46,45.48,0.0,0.0,244.6,0,0,45,330,4,0,15,0,0,0,394,0,0,0,54,0,2311,46,705
3125200,Fama,Sul/Sudoeste de Minas,206,123,83,15.47,Não,Sim,1,77.9,46.9,0.0,0.0,1.8,71.9,6,2424,7,19,11,5.06,260,173.45,5.36,0.0,0.0,7.88,0.0,0.0,86.0,0,0,0,0,1584,0,89,0,0,0,3630,0,0,0,0,0,1800,13,100
3125309,Faria Lemos,Zona da Mata,523,406,319,12.71,Não,Não,0,69.5,47.9,4.5,4.7,28.6,69.6,3,3383,8,21,10,18.21,487,209.28,7.09,0.0,0.0,4.91,0.0,0.0,165.2,0,0,63,0,690,500,6,0,0,0,59,0,0,0,0,0,7196,11,0
3125408,Felício dos Santos,Jequitinhonha,1026,672,682,18.28,Não,Sim,1,95.8,72.6,2.3,2.5,41.3,100.0,1,5046,8,22,9,19.37,397,110.26,7.73,19.82,0.0,1.09,0.0,0.0,357.6,0,0,26,0,300,1200,50,10,0,0,320,0,0,12,0,0,1363,62,1625
3125507,São Gonçalo do Rio Preto,Jequitinhonha,575,379,391,10.11,Não,Sim,1,77.1,79.2,1.6,1.7,28.2,100.0,8,3197,7,21,10,20.0,349,137.48,4.38,0.0,0.0,1.25,0.0,0.0,314.5,0,0,23,0,143,1200,14,0,0,0,122,0,0,0,0,0,850,77,2380
3125606,Felisburgo,Jequitinhonha,1690,1481,1231,23.51,Não,Sim,1,74.9,46.3,1.7,1.7,29.2,73.6,4,7386,8,22,9,36.46,555,103.95,7.45,27.08,0.0,1.58,0.0,0.0,596.2,0,0,51,0,18,300,105,0,0,0,135,0,0,0,0,0,2633,44,150
3125705,Felixlândia,Central Mineira,1943,1177,1064,26.58,Não,Sim,1,68.5,44.1,3.6,3.6,12.9,63.8,2,15178,7,21,9,10.61,1799,228.84,6.52,26.35,76.79,8.6,0.0,0.0,1554.6,0,0,64,0,0,7500,254,0,0,16,1310,242,0,0,140,0,8411,130,5240
3125804,Fernandes Tourinho,Vale do Rio Doce,417,218,245,23.72,Não,Não,0,71.9,44.5,0.3,0.4,26.4,72.2,3,3337,8,21,10,12.86,301,122.04,6.29,0.0,0.0,4.23,100.0,0.0,151.9,0,0,0,0,0,450,12,0,0,0,30,0,0,0,82,0,3930,2,0
3125903,Ferros,Metropolitana de Belo Horizonte,1381,870,896,27.55,Sim,Sim,1,72.4,41.9,5.0,5.0,24.6,68.3,4,10519,7,21,9,11.02,931,127.7,7.03,9.51,36.96,8.1,0.0,0.0,1088.8,0,0,70,0,32,21400,138,0,0,0,1092,0,0,0,0,0,8920,150,11700
3125952,Fervedouro,Zona da Mata,1724,1262,1086,11.94,Não,Sim,1,83.9,49.1,2.3,2.4,8.6,84.5,6,10989,8,20,9,14.28,671,84.68,5.46,27.3,71.03,1.77,0.0,0.0,357.7,0,0,444,0,5010,300,118,22,6,0,777,0,0,0,30,0,3415,49,425
3126000,Florestal,Metropolitana de Belo Horizonte,604,383,302,10.8,Não,Sim,1,74.5,100.0,1.5,1.7,43.9,100.0,6,7278,8,21,9,8.4,1325,255.27,7.01,27.48,0.0,38.38,0.0,0.0,191.4,0,0,0,0,0,1400,1,0,0,0,63,0,0,0,420,0,4836,19,1150
3126109,Formiga,Oeste de Minas,4802,2120,1634,22.57,Sim,Sim,3,70.4,62.3,2.4,2.5,30.3,75.0,16,68236,8,20,8,3.25,17216,415.61,8.06,8.79,27.86,20.59,0.0,0.0,1501.9,0,0,220,3700,4680,2378,1620,0,20,0,58500,25100,0,44,990,0,32963,963,33700
3126208,Formoso,Noroeste de Minas,1638,1346,1236,18.17,Não,Sim,1,86.9,51.0,1.4,1.4,15.9,66.8,8,9184,8,21,9,28.69,664,114.66,2.29,10.89,0.0,1.13,0.0,0.0,3685.7,0,0,0,0,514,2410,6390,12064,0,0,42912,64368,420,0,0,0,2140,70,200
3126307,Fortaleza de Minas,Sul/Sudoeste de Minas,270,165,115,14.74,Não,Sim,1,58.8,40.7,1.9,2.0,7.0,49.8,8,4382,8,21,10,3.5,561,240.4,7.99,45.64,92.15,6.66,0.0,100.0,218.8,0,0,10,0,1248,13447,3,6528,0,0,4224,9,0,0,880,0,4574,25,0
3126406,Fortuna de Minas,Metropolitana de Belo Horizonte,417,211,190,15.1,Não,Sim,1,90.6,64.4,0.0,0.0,65.3,77.8,4,2913,7,19,11,10.4,255,113.03,9.61,0.0,0.0,7.48,0.0,0.0,198.7,0,0,0,0,0,572,4,0,0,0,120,0,0,0,0,0,4167,35,1900
3126505,Francisco Badaró,Jequitinhonha,1487,1041,1012,12.64,Não,Sim,1,57.0,49.3,1.5,1.5,13.0,73.9,4,10553,7,20,9,13.59,315,40.05,6.92,0.0,0.0,1.03,0.0,0.0,461.3,0,0,68,0,0,1110,66,24,0,0,195,0,0,0,0,0,820,105,9400
3126604,Francisco Dumont,Norte de Minas,1114,877,750,9.8,Não,Sim,1,86.5,59.9,1.0,1.1,21.4,72.8,12,5188,8,21,10,23.64,402,85.1,5.01,0.0,0.0,0.73,93.8,0.0,1576.1,0,0,32,0,480,3900,26,15,0,14,460,0,363,0,0,0,2187,45,325
3126703,Francisco Sá,Norte de Minas,4545,2829,2586,27.13,Não,Sim,1,75.9,63.3,1.6,1.7,24.2,76.3,10,26325,8,20,9,13.88,2531,123.38,5.66,11.4,29.32,2.94,0.0,0.0,2747.3,0,0,4570,0,2,3850,300,0,15,10,1440,0,140,0,0,0,14980,229,11070
3126752,Franciscópolis,Vale do Mucuri,1055,831,764,7.27,Não,Sim,1,79.8,49.0,0.0,0.0,0.3,78.7,4,5708,8,22,9,24.24,506,181.14,5.26,17.52,0.0,1.91,0.0,0.0,717.1,0,0,130,0,14,5550,125,13,0,0,1104,0,0,0,0,0,7340,46,120
